checked_by,checked,entered_by,entered_date,collected_by,collected_date,row,column,position,transect,point,hitnumber_1,hitnumber_2,hitnumber_3,hitnumber_4,hitnumber_5,notes,correction_notes,hitnumber_6
Joanna,y,Gabrielle,2023-05-02,"AR, AH",2023-03-06,A,1,U,1,0,hormur,bromad,lit,,,,,
Joanna,y,Gabrielle,2023-05-02,"AR, AH",2023-03-06,A,1,U,1,0.1,hormur,bromad,lit,,,,,
Joanna,y,Gabrielle,2023-05-02,"AR, AH",2023-03-06,A,1,U,1,0.2,brodia,bromad,schbar,lit,,,,
Joanna,y,Gabrielle,2023-05-02,"AR, AH",2023-03-06,A,1,U,1,0.3,bromad,brodia,lit,,,,,
Joanna,y,Gabrielle,2023-05-02,"AR, AH",2023-03-06,A,1,U,1,0.4,bromad,brodia,lit,,,,,
Joanna,y,Gabrielle,2023-05-02,"AR, AH",2023-03-06,A,1,U,1,0.5,bromad,amsmen,hormur,eromos,bromad,,,lit
Joanna,y,Gabrielle,2023-05-02,"AR, AH",2023-03-06,A,1,U,1,0.6,amsmen,bromad,lit,,,,,
Joanna,y,Gabrielle,2023-05-02,"AR, AH",2023-03-06,A,1,U,1,0.7,bromad,amsmen,bg,,,,,
Joanna,y,Gabrielle,2023-05-02,"AR, AH",2023-03-06,A,1,U,1,0.8,brodia,amsmen,bg,,,,,
Joanna,y,Gabrielle,2023-05-02,"AR, AH",2023-03-06,A,1,U,1,0.9,bromad,brodia,lit,,,,,
Joanna,y,Gabrielle,2023-05-02,"AR, AH",2023-03-06,A,1,U,1,1,bromad,brodia,bg,,,,,
Joanna,y,Gabrielle,2023-05-02,"AR, AH",2023-03-06,A,1,U,1,1.1,brodia,eromos,lit,,,,,
Joanna,y,Gabrielle,2023-05-02,"AR, AH",2023-03-06,A,1,U,1,1.2,brodia,lit,,,,,,
Joanna,y,Gabrielle,2023-05-02,"AR, AH",2023-03-06,A,1,U,1,1.3,brodia,bromad,lit,,,,,
Joanna,y,Gabrielle,2023-05-02,"AR, AH",2023-03-06,A,1,U,1,1.4,bromad,lit,,,,,,
Joanna,y,Gabrielle,2023-05-02,"AR, AH",2023-03-06,A,1,U,1,1.5,hormur,bromad,lit,,,,,
Joanna,y,Gabrielle,2023-05-02,"AR, AH",2023-03-06,A,1,U,1,1.6,bromad,hormur,lit,,,,,
Joanna,y,Gabrielle,2023-05-02,"AR, AH",2023-03-06,A,1,U,1,1.7,bromad,bg,,,,,,
Joanna,y,Gabrielle,2023-05-02,"AR, AH",2023-03-06,A,1,U,1,1.8,bromad,bg,,,,,,
Joanna,y,Gabrielle,2023-05-02,"AR, AH",2023-03-06,A,1,U,1,1.9,bromad,bg,,,,,,
Joanna,y,Gabrielle,2023-05-02,"AR, AH",2023-03-06,A,1,U,1,2,bromad,bg,,,,,,
Joanna,y,Gabrielle,2023-05-02,"AR, AH",2023-03-06,A,1,U,1,2.1,bromad,bg,,,,,,
Joanna,y,Gabrielle,2023-05-02,"AR, AH",2023-03-06,A,1,U,1,2.2,hormur,bromad,bg,,,,,
Joanna,y,Gabrielle,2023-05-02,"AR, AH",2023-03-06,A,1,U,1,2.3,bromad,schbar,bg,,,,,
Joanna,y,Gabrielle,2023-05-02,"AR, AH",2023-03-06,A,1,U,1,2.4,bromad,eromos,bg,,,,,
Joanna,y,Gabrielle,2023-05-02,"AR, AH",2023-03-06,A,1,U,1,2.5,bromad,brodia,schbar,bg,,,,
Joanna,y,Gabrielle,2023-05-02,"AR, AH",2023-03-06,A,1,U,1,2.6,bromad,bg,,,,,,
Joanna,y,Gabrielle,2023-05-02,"AR, AH",2023-03-06,A,1,U,1,2.7,bromad,schbar,bg,,,,,
Joanna,y,Gabrielle,2023-05-02,"AR, AH",2023-03-06,A,1,U,1,2.8,bromad,hormur,lit,,,,,
Joanna,y,Gabrielle,2023-05-02,"AR, AH",2023-03-06,A,1,U,1,2.9,brodia,schbar,bromad,lit,,,,
Joanna,y,Gabrielle,2023-05-02,"AR, AH",2023-03-06,A,1,U,2,0,brator,lit,,,,,,
Joanna,y,Gabrielle,2023-05-02,"AR, AH",2023-03-06,A,1,U,2,0.1,brator,bromad,lit,,,,,
Joanna,y,Gabrielle,2023-05-02,"AR, AH",2023-03-06,A,1,U,2,0.2,brator,bromad,bg,,,,,
Joanna,y,Gabrielle,2023-05-02,"AR, AH",2023-03-06,A,1,U,2,0.3,hormur,bromad,schbar,lit,,,,
Joanna,y,Gabrielle,2023-05-02,"AR, AH",2023-03-06,A,1,U,2,0.4,bromad,schbar,lit,,,,,
Joanna,y,Gabrielle,2023-05-02,"AR, AH",2023-03-06,A,1,U,2,0.5,bromad,eromos,schbar,lit,,,,
Joanna,y,Gabrielle,2023-05-02,"AR, AH",2023-03-06,A,1,U,2,0.6,hormur,bromad,schbar,lit,,,,
Joanna,y,Gabrielle,2023-05-02,"AR, AH",2023-03-06,A,1,U,2,0.7,brodia,bromad,schbar,lit,,,,
Joanna,y,Gabrielle,2023-05-02,"AR, AH",2023-03-06,A,1,U,2,0.8,brodia,bromad,hormur,lit,,,,
Joanna,y,Gabrielle,2023-05-02,"AR, AH",2023-03-06,A,1,U,2,0.9,brodia,bromad,hormur,lit,,,,
Joanna,y,Gabrielle,2023-05-02,"AR, AH",2023-03-06,A,1,U,2,1,bromad,hormur,schbar,lit,,,,
Joanna,y,Gabrielle,2023-05-02,"AR, AH",2023-03-06,A,1,U,2,1.1,hormur,bromad,schbar,lit,,,,
Joanna,y,Gabrielle,2023-05-02,"AR, AH",2023-03-06,A,1,U,2,1.2,bromad,hormur,bromad,lit,,,,
Joanna,y,Gabrielle,2023-05-02,"AR, AH",2023-03-06,A,1,U,2,1.3,bromad,hormur,bg,,,,,
Joanna,y,Gabrielle,2023-05-02,"AR, AH",2023-03-06,A,1,U,2,1.4,bromad,schbar,bg,,,,,
Joanna,y,Gabrielle,2023-05-02,"AR, AH",2023-03-06,A,1,U,2,1.5,bromad,hormur,lit,,,,,
Joanna,y,Gabrielle,2023-05-02,"AR, AH",2023-03-06,A,1,U,2,1.6,bromad,lit,,,,,,
Joanna,y,Gabrielle,2023-05-02,"AR, AH",2023-03-06,A,1,U,2,1.7,bromad,hormur,eromos,lit,,,,
Joanna,y,Gabrielle,2023-05-02,"AR, AH",2023-03-06,A,1,U,2,1.8,hormur,bromad,brator,schbar,lit,,,
Joanna,y,Gabrielle,2023-05-02,"AR, AH",2023-03-06,A,1,U,2,1.9,bromad,eromos,lit,,,,,
Joanna,y,Gabrielle,2023-05-02,"AR, AH",2023-03-06,A,1,U,2,2,bromad,eromos,lit,,,,,
